mp,id,date_filed,title,url,status,fullname,firstname,lastname,file_date
2269,750,2014-07-11 00:00:00.000,Investigation of the mode structure of the WCM with a scanning Mirror Langmuir probe,http://www-internal.psfc.mit.edu/research/alcator/miniproposals/750.pdf,Open,Brian Labombard,Brian,Labombard, 7/11/2014
2309,787,2015-07-31 00:00:00.000,Improving stability of non-inductive LHCD discahrges,http://www-internal.psfc.mit.edu/research/alcator/miniproposals/787.pdf,Open,Greg Wallace,Greg,Wallace, 7/31/2015
2326,802,2016-02-17 00:00:00.000,Ohmic and low-power L-mode sawteeth as probes of perturbative heat transport,	http://www-internal.psfc.mit.edu/research/alcator/miniproposals/802.pdf,Open,Eric Edlund,Eric,Edlund, 2/17/2016
2351,826,2016-08-29 00:00:00.000,Documenting high-performance ELM-free plasmas,http://www-internal.psfc.mit.edu/research/alcator/miniproposals/826.pdf,Open,Steve Scott,Steve,Scott, 8/29/2016
2356,831,2016-09-19 00:00:00.000,Race to Midnight: 300 kJ or Bust,http://www-internal.psfc.mit.edu/research/alcator/miniproposals/831.pdf,Submitted,Anne White,Anne,White, 9/19/2016
2357,832,2016-09-27 00:00:00.000,Fast time resolution LH power deposition to SOL,http://www-internal.psfc.mit.edu/research/alcator/miniproposals/832.pdf,Submitted,Syunichi Shiraiwa,Syunichi,Shiraiwa, 9/27/2016
